Date,IGSpread,HYSpread,SPX,VIX
9/21/2004,53.93,363,1129.3,13.66
9/22/2004,55.18,367.5,1113.56,14.74
9/23/2004,54.69,371.2,1108.36,14.8
9/24/2004,55.11,374.5,1110.11,14.28
9/27/2004,54.59,370.5,1103.52,14.62
9/28/2004,54.15,365.5,1110.06,13.83
9/29/2004,53.78,365,1114.8,13.21
9/30/2004,52.83,353,1114.58,13.34
10/1/2004,52.2,344.9,1131.5,12.75
10/4/2004,52.98,347.2,1135.17,13.41
10/5/2004,53.06,345.1,1134.48,13.95
10/6/2004,53.42,345.1,1142.05,13.28
10/7/2004,53.38,347.6,1130.65,14.5
10/8/2004,53.55,348.1,1122.14,15.05
10/12/2004,54.55,354.9,1121.84,15.05
10/13/2004,54.97,356.5,1113.65,15.42
10/14/2004,55.94,358.4,1103.29,16.43
10/15/2004,57.41,364.4,1108.2,15.04
10/18/2004,58.69,378.2,1114.02,14.71
10/19/2004,57.97,366.7,1103.23,15.13
10/20/2004,56.88,359.9,1103.66,14.85
10/21/2004,57.12,359.9,1106.49,14.54
10/22/2004,55.03,349.4,1095.74,15.28
10/25/2004,53.28,341.9,1094.81,16.58
10/26/2004,53.06,336,1111.09,16.39
10/27/2004,52.53,329.1,1125.4,15.72
10/28/2004,53.23,323.2,1127.44,15.39
10/29/2004,52.9,319.9,1130.2,16.27
11/1/2004,52.13,309.1,1130.51,16.27
11/2/2004,50.45,303.7,1130.54,16.18
11/3/2004,50.11,302.3,1143.2,14.04
11/4/2004,50.8,309.1,1161.67,13.97
11/5/2004,50.03,308.7,1166.17,13.84
11/8/2004,49.65,311.7,1164.89,13.8
11/9/2004,49.4,310.8,1164.08,13.61
11/10/2004,49.938,312.4,1162.91,13.08
11/12/2004,49.69,314,1184.17,13.33
11/15/2004,50,315.6,1183.81,13.38
11/16/2004,49.5,315.2844444,1175.43,13.21
11/17/2004,49.938,314.9688889,1181.94,13.21
11/18/2004,49.375,314.6533333,1183.55,12.98
11/19/2004,48.94,314.3377778,1170.34,13.5
11/22/2004,48.81,314.0222222,1177.24,12.97
11/23/2004,48.59,313.7066667,1176.94,12.67
11/24/2004,47.67,313.3911111,1181.76,12.72
11/26/2004,47.58,313.0755556,1182.65,12.78
11/29/2004,46.9,312.76,1178.57,13.3
11/30/2004,47.27,319.13,1173.82,13.24
12/1/2004,45.75,316.08,1191.37,12.97
12/2/2004,44.45,314.62,1190.33,12.98
12/3/2004,44.1,311.42,1191.17,12.96
12/6/2004,44.03,309.71,1190.25,13.19
12/7/2004,44.25,307,1177.07,13.67
12/8/2004,44.52,305.96,1182.81,13.19
12/9/2004,44.97,304.21,1189.24,12.88
12/10/2004,45.56,304.99,1188,12.76
12/13/2004,45.5,298.81,1198.68,12.54
12/14/2004,46.4,296.03,1203.38,12.73
12/15/2004,45.87,291.3,1205.72,12.35
12/16/2004,44.95,292.72,1203.21,12.27
12/17/2004,45.19,294.74,1194.22,11.95
12/20/2004,44.46,293.31,1194.65,11.83
12/21/2004,44.42,294.55,1205.45,11.55
12/22/2004,44.25,294.65,1209.57,11.45
12/23/2004,44.25,294.81,1210.13,11.23
12/29/2004,44,294.81,1213.45,11.62
12/30/2004,43.94,295.32,1213.55,12.56
12/31/2004,44,294.28,1211.92,13.29
1/4/2005,44.85,298.04,1188.05,13.98
1/5/2005,46.54,310.51,1183.74,14.09
1/6/2005,46.59,312.59,1187.89,13.58
1/7/2005,47.16,314.58,1186.19,13.49
1/10/2005,47.31,322.38,1190.25,13.23
1/11/2005,47.48,325.39,1182.99,13.19
1/12/2005,47.17,323.84,1187.7,12.56
1/13/2005,47.75,327.9,1177.45,12.84
1/14/2005,47.75,330.5,1184.52,12.43
1/18/2005,48.56,337.08,1195.98,12.47
1/19/2005,48.85,338.81,1184.63,13.18
1/20/2005,49.53,349.1,1175.41,13.83
1/21/2005,49.51,343.91,1167.87,14.36
1/24/2005,48.56,336.59,1163.75,14.65
1/25/2005,47.5,327.42,1168.41,14.06
1/26/2005,46.66,323.15,1174.07,13.44
1/27/2005,46.63,321.69,1174.55,13.24
1/28/2005,46.79,323.26,1171.36,13.24
1/31/2005,46.53,320.85,1181.27,12.82
2/1/2005,45.86,316.22,1189.41,12.03
2/2/2005,44.7,310.54,1193.19,11.66
2/3/2005,44.75,311.48,1189.89,11.79
2/4/2005,44.25,301.61,1203.03,11.21
2/7/2005,44.68,302.5,1201.72,11.73
2/8/2005,44.75,299.78,1202.3,11.6
2/9/2005,46.05,309.68,1191.99,12
2/10/2005,45.25,310.28,1197.01,11.51
2/11/2005,44.69,305.8,1205.3,11.43
2/14/2005,44.54,305.1,1206.14,11.52
2/15/2005,44.38,302.47,1210.12,11.27
2/16/2005,43.9,300.15,1210.34,11.1
2/17/2005,43.98,300.23,1200.75,11.77
2/18/2005,44.18,302.27,1201.59,11.18
2/22/2005,45.22,310.73,1184.16,13.14
2/23/2005,44.27,307.18,1190.8,12.39
2/24/2005,44.06,306.04,1200.2,11.57
2/25/2005,44.02,301.68,1211.37,11.49
2/28/2005,44.5,302.47,1203.6,12.08
3/1/2005,43.97,304.19,1210.41,12.04
3/2/2005,43.68,303.85,1210.08,12.5
3/3/2005,42.97,299.71,1210.47,12.93
3/4/2005,42,295.19,1222.12,11.94
3/7/2005,41.49,291.87,1225.31,12.26
